Svc Hawaii Llc,Daralis Vega de Fernandez,SD,37527,11/02/2000,01/01/2024,12/31/2024,,,,,,,,Active,
"SVC-West, LLC",Daralis Vega de Fernandez,SD,100086345,01/31/2020,01/01/2024,12/31/2024,,,,,,,,Active,
The Ritz-Carlton Development Co Inc,Robert A Phillips,SD,36897,12/02/1999,01/01/2024,12/31/2024,,,,,,,,Active,
The Ritz-Carlton Development Co Inc,Ralph Lee Cunningham,SD,36897,12/02/1999,01/01/2024,12/31/2024,,,,,,,,Active,
The Wren Association,John Palmquist,SD,100070853,09/23/2016,01/01/2024,12/31/2024,,,,,,,,Active,
"Vistana Aventuras, Inc.",Robin Suarez,SD,100074973,07/31/2017,01/01/2024,12/31/2024,,,,,,,,Active,
"Westgate Flamingo Bay, LLC",David A. Siegel,SD,38117,02/28/2002,01/01/2024,12/31/2024,"Jeannie Carney - Greenspoon Marder, PA","100 W. Cypress Creek Rd., Suite 700",,Ft. Lauderdale,FL,,33309,Active,
"Westgate Lakes, LLC",David A. Siegel,SD,36317,05/29/1998,01/01/2024,12/31/2024,"Jeannie Carney - Greenspoon Marder, PA","100 W. Cypress Creek Rd., Suite 700",,Ft. Lauderdale,FL,,33309,Active,
"Westgate Las Vegas Resort, LLC",David A. Siegel,SD,100070823,09/21/2016,01/01/2024,12/31/2024,"Greenspoon Marder, PA",200 E. Broward Boulevard,Suite 1800,Fort Lauderdale,FL,,33301,Active,
"Westgate Resorts, Ltd.",David A. Siegel,SD,37587,12/14/2000,01/01/2024,12/31/2024,"Jeannie Carney- Greenspoon Marder, PA","100 W. Cypress Creek Rd., Suite 700",,Ft. Lauderdale,FL,,33309,Active,
"Westgate Vacation Villas, LLC",David A. Siegel,SD,36417,08/17/1998,01/01/2024,12/31/2024,"Jeannie Carney - Greenspoon Marder, PA","100 W. Cypress Creek Rd., Suite 700",,Ft. Lauderdale,FL,,33309,Active,
"Westin St. John Hotel Company, Inc.",Robin Suarez,SD,100046541,09/13/2013,01/01/2024,12/31/2024,,,,,,,,Active,
"WHV Resort Group, Inc.",Jonathan P Fredricks,SD,100045671,07/26/2013,01/01/2024,12/31/2024,,,,,,,,Active,
"Wvc St. John, Inc.",Robin Suarez,SD,100051502,07/14/2014,01/01/2024,12/31/2024,,,,,,,,Active,
Wyndham Resort Development Corporation,Daralis Vega de Fernandez,SD,37287,05/23/2000,01/01/2024,12/31/2024,,,,,,,,Active,
"Wyndham Vacation Resorts, Inc.",Daralis Vega de Fernandez,SD,33787,07/14/1993,01/01/2024,12/31/2024,,,,,,,,Active,
"Wyndham Vacation Resorts, Inc.",Daralis Vega de Fernandez,SD,100054236,01/09/2015,01/01/2024,12/31/2024,,,,,,,,Active,
