"id","BusinessName","DesignatedAgent","CredentialTypePrefix","CredentialNumber","LicenseFirstIssueDate","LicenseLastRenewedDate","LicenseExpirationDate","Attention","AddressLine1","AddressLine2","City","State","County","ZipCode","Description","Managed","Units","ManagementCompany"
"5229","Indigo Ranch At Ridgeview Homeowners Association","Charlene Sherri Smith","HOA","28586","08/13/2012","08/14/2023","08/13/2024","","5501 Whiskey River Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","309","Hammersmith Management"
"5230","Indigo Ranch At Ridgeview Homeowners Association","Charlene Sherri Smith","HOA","28586","08/13/2012","08/14/2023","08/13/2024","","5501 Whiskey River Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","309","Hammersmith Management Company"
"5231","Indigo Ranch At Ridgeview Homeowners Association","Charlene Sherri Smith","HOA","28586","08/13/2012","08/14/2023","08/13/2024","","5501 Whiskey River Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","309","Hammersmith, AAMC"
"5232","Indigo Ranch At Stetson Ridge Homeowners Associati","Charlene Sherri Smith","HOA","29283","02/04/2014","02/15/2024","02/14/2025","","5601 Brennan Ave","","Colorado Springs","CO","","80923","Active","Professionally Managed","1136","Hammersmith"
"5233","Indigo Ranch At Stetson Ridge Homeowners Associati","Charlene Sherri Smith","HOA","29283","02/04/2014","02/15/2024","02/14/2025","","5601 Brennan Ave","","Colorado Springs","CO","","80923","Active","Professionally Managed","1136","Hammersmith Data Management, Inc."
"5234","Indigo Ranch At Stetson Ridge Homeowners Associati","Charlene Sherri Smith","HOA","29283","02/04/2014","02/15/2024","02/14/2025","","5601 Brennan Ave","","Colorado Springs","CO","","80923","Active","Professionally Managed","1136","Hammersmith Management"
"5235","Indigo Ranch At Stetson Ridge Homeowners Associati","Charlene Sherri Smith","HOA","29283","02/04/2014","02/15/2024","02/14/2025","","5601 Brennan Ave","","Colorado Springs","CO","","80923","Active","Professionally Managed","1136","Hammersmith Management Company"
"5236","Indigo Ranch At Stetson Ridge Homeowners Associati","Charlene Sherri Smith","HOA","29283","02/04/2014","02/15/2024","02/14/2025","","5601 Brennan Ave","","Colorado Springs","CO","","80923","Active","Professionally Managed","1136","Hammersmith, AAMC"
"6421","Midtown at Pathways Homeowners Association, Inc.","Joel Janda","HOA","55686","04/26/2022","04/27/2024","04/26/2025","","Spring Breeze Dr ","","Colorado Springs ","CO","","80923","Active","Professionally Managed","72","Diversified Association Managemnet"
"8128","Quail Brush Creek HOA","Diana Burry","HOA","51227","06/02/2016","06/18/2023","06/17/2024","","Quail Brush Creek Dr. & Thorn Brush Way","","Colorado Springs","CO","","80923","Active","Professionally Managed","230","MSI, LLC"
"8382","Renaissance at Indigo North Homeowners Association, Inc.","Charlene Sherri Smith","HOA","52848","04/04/2018","04/05/2024","04/04/2025","","Lucky Star Lane"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","101","Hammersmith"
"8383","Renaissance at Indigo North Homeowners Association, Inc.","Charlene Sherri Smith","HOA","52848","04/04/2018","04/05/2024","04/04/2025","","Lucky Star Lane"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","101","Hammersmith Data Management, Inc."
"8384","Renaissance at Indigo North Homeowners Association, Inc.","Charlene Sherri Smith","HOA","52848","04/04/2018","04/05/2024","04/04/2025","","Lucky Star Lane"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","101","Hammersmith Management"
"8385","Renaissance at Indigo North Homeowners Association, Inc.","Charlene Sherri Smith","HOA","52848","04/04/2018","04/05/2024","04/04/2025","","Lucky Star Lane"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","101","Hammersmith Management Company"
"8386","Renaissance at Indigo North Homeowners Association, Inc.","Charlene Sherri Smith","HOA","52848","04/04/2018","04/05/2024","04/04/2025","","Lucky Star Lane"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","101","Hammersmith, AAMC"
"8387","Renaissance at Indigo South","Charlene Sherri Smith","HOA","53565","08/14/2019","08/15/2023","08/14/2024","","Mustang Rim Drive","","Colorado Springs","CO","","80923","Active","Professionally Managed","49","Hammersmith"
"8388","Renaissance at Indigo South","Charlene Sherri Smith","HOA","53565","08/14/2019","08/15/2023","08/14/2024","","Mustang Rim Drive","","Colorado Springs","CO","","80923","Active","Professionally Managed","49","Hammersmith Data Management, Inc."
"8389","Renaissance at Indigo South","Charlene Sherri Smith","HOA","53565","08/14/2019","08/15/2023","08/14/2024","","Mustang Rim Drive","","Colorado Springs","CO","","80923","Active","Professionally Managed","49","Hammersmith Management"
"8390","Renaissance at Indigo South","Charlene Sherri Smith","HOA","53565","08/14/2019","08/15/2023","08/14/2024","","Mustang Rim Drive","","Colorado Springs","CO","","80923","Active","Professionally Managed","49","Hammersmith Management Company"
"8391","Renaissance at Indigo South","Charlene Sherri Smith","HOA","53565","08/14/2019","08/15/2023","08/14/2024","","Mustang Rim Drive","","Colorado Springs","CO","","80923","Active","Professionally Managed","49","Hammersmith, AAMC"
"8766","Saddleback At Newport Homeowners Association","Brandon Helm","HOA","20258","01/04/2011","09/13/2023","09/12/2024","","Rowell Point","","Colorado Springs","CO","","80923","Active","Professionally Managed","48",""
"8767","Saddleback Homeowner Association Of Colorado Sprin","Rudy Wynn Thompson","HOA","26938","02/28/2011","03/25/2024","03/24/2025","","5810 Cowboy Heights","","Colorado Springs","CO","","80923","Active","Professionally Managed","129",""
"8859","Sand Creek Villas Community Association","Kristie Mckitterick","HOA","21993","01/27/2011","01/28/2024","01/27/2025","","Red Sand Grove","","Colorado Springs","CO","","80923","Active","Professionally Managed","120",""
"9080","Shoppes at Indigo Ranch Property Owners Association","Charlene Sherri Smith","HOA","53626","09/19/2019","09/20/2023","09/19/2024","","Dublin Boulevard","","Colorado Springs","CO","","80923","Active","Professionally Managed","6","Hammersmith"
"9081","Shoppes at Indigo Ranch Property Owners Association","Charlene Sherri Smith","HOA","53626","09/19/2019","09/20/2023","09/19/2024","","Dublin Boulevard","","Colorado Springs","CO","","80923","Active","Professionally Managed","6","Hammersmith Data Management, Inc."
"9082","Shoppes at Indigo Ranch Property Owners Association","Charlene Sherri Smith","HOA","53626","09/19/2019","09/20/2023","09/19/2024","","Dublin Boulevard","","Colorado Springs","CO","","80923","Active","Professionally Managed","6","Hammersmith Management"
"9083","Shoppes at Indigo Ranch Property Owners Association","Charlene Sherri Smith","HOA","53626","09/19/2019","09/20/2023","09/19/2024","","Dublin Boulevard","","Colorado Springs","CO","","80923","Active","Professionally Managed","6","Hammersmith Management Company"
"9084","Shoppes at Indigo Ranch Property Owners Association","Charlene Sherri Smith","HOA","53626","09/19/2019","09/20/2023","09/19/2024","","Dublin Boulevard","","Colorado Springs","CO","","80923","Active","Professionally Managed","6","Hammersmith, AAMC"
"9762","Stetson Hills Master Homeowners Association Inc.","Charlene Sherri Smith","HOA","24626","02/17/2011","02/18/2024","02/17/2025","","Balance Circle","","Colorado Springs","CO","","80923","Active","Professionally Managed","3243","Hammersmith"
"9763","Stetson Hills Master Homeowners Association Inc.","Charlene Sherri Smith","HOA","24626","02/17/2011","02/18/2024","02/17/2025","","Balance Circle","","Colorado Springs","CO","","80923","Active","Professionally Managed","3243","Hammersmith Data Management, Inc."
"9764","Stetson Hills Master Homeowners Association Inc.","Charlene Sherri Smith","HOA","24626","02/17/2011","02/18/2024","02/17/2025","","Balance Circle","","Colorado Springs","CO","","80923","Active","Professionally Managed","3243","Hammersmith Management"
"9765","Stetson Hills Master Homeowners Association Inc.","Charlene Sherri Smith","HOA","24626","02/17/2011","02/18/2024","02/17/2025","","Balance Circle","","Colorado Springs","CO","","80923","Active","Professionally Managed","3243","Hammersmith Management Company"
"9766","Stetson Hills Master Homeowners Association Inc.","Charlene Sherri Smith","HOA","24626","02/17/2011","02/18/2024","02/17/2025","","Balance Circle","","Colorado Springs","CO","","80923","Active","Professionally Managed","3243","Hammersmith, AAMC"
"9767","Stetson Ridge Highlands","Brandon Helm","HOA","50816","03/15/2016","10/18/2023","10/17/2024","Warren Management Group","Antelope Ridge Drive &","Stetson Highlands Drive ","Colorado Springs","CO","","80923","Active","Professionally Managed","120",""
"10731","The Dublin Townhomes At Stetson Hills Community As","Kristie Mckitterick","HOA","27191","02/28/2011","03/17/2024","03/16/2025","","Sierra Grande Point","","Colorado Springs","CO","","80923","Active","Professionally Managed","174",""
"11868","The Vistas at Nor'wood Condominium Association, Inc.","Joel Janda","HOA","25393","02/23/2011","03/15/2024","03/15/2025","","Saddle Rock Rd & Stone Bluffs Point","","Colorado Springs","CO","","80923","Active","Professionally Managed","110","Diversified Association Managemnet"
"12194","Townhomes At Ridgeview Community Association, Inc.","Kristie Mckitterick","HOA","24008","02/14/2011","02/29/2024","02/28/2025","","Ensemble Heights","","Colorado Springs","CO","","80923","Active","Professionally Managed","130",""
"12264","Trailside at Cottonwood Creek Homeowners Association, Inc.","Diana Burry","HOA","55802","06/15/2022","06/16/2023","06/15/2024","","E. Woodmen Rd. & Creek Trail Vw.","","Colorado Springs","CO","","80923","Active","Professionally Managed","10","MSI, LLC"
"12917","Wagon Trails Recreation Association","Joel Janda","HOA","21469","01/19/2011","03/15/2024","03/15/2025","","Alcove Springs Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","948","Diversified Association Managemnet"
